time_id,full_date,year,quarter,month,month_name,week_of_year,day_of_week,day_name,is_weekend,year_month,is_rainy_season,is_dengue_peak,is_school_holiday,is_ramadan,is_lebaran
251,2022-09-08,2022,3,9,September,36,3,Thursday,False,2022-09,False,False,False,False,False
252,2022-09-09,2022,3,9,September,36,4,Friday,False,2022-09,False,False,False,False,False
253,2022-09-10,2022,3,9,September,36,5,Saturday,True,2022-09,False,False,False,False,False
254,2022-09-11,2022,3,9,September,36,6,Sunday,True,2022-09,False,False,False,False,False
255,2022-09-12,2022,3,9,September,37,0,Monday,False,2022-09,False,False,False,False,False
256,2022-09-13,2022,3,9,September,37,1,Tuesday,False,2022-09,False,False,False,False,False
257,2022-09-14,2022,3,9,September,37,2,Wednesday,False,2022-09,False,False,False,False,False
258,2022-09-15,2022,3,9,September,37,3,Thursday,False,2022-09,False,False,False,False,False
259,2022-09-16,2022,3,9,September,37,4,Friday,False,2022-09,False,False,False,False,False
260,2022-09-17,2022,3,9,September,37,5,Saturday,True,2022-09,False,False,False,False,False
261,2022-09-18,2022,3,9,September,37,6,Sunday,True,2022-09,False,False,False,False,False
262,2022-09-19,2022,3,9,September,38,0,Monday,False,2022-09,False,False,False,False,False
263,2022-09-20,2022,3,9,September,38,1,Tuesday,False,2022-09,False,False,False,False,False
264,2022-09-21,2022,3,9,September,38,2,Wednesday,False,2022-09,False,False,False,False,False
265,2022-09-22,2022,3,9,September,38,3,Thursday,False,2022-09,False,False,False,False,False
266,2022-09-23,2022,3,9,September,38,4,Friday,False,2022-09,False,False,False,False,False
267,2022-09-24,2022,3,9,September,38,5,Saturday,True,2022-09,False,False,False,False,False
268,2022-09-25,2022,3,9,September,38,6,Sunday,True,2022-09,False,False,False,False,False
269,2022-09-26,2022,3,9,September,39,0,Monday,False,2022-09,False,False,False,False,False
270,2022-09-27,2022,3,9,September,39,1,Tuesday,False,2022-09,False,False,False,False,False
271,2022-09-28,2022,3,9,September,39,2,Wednesday,False,2022-09,False,False,False,False,False
272,2022-09-29,2022,3,9,September,39,3,Thursday,False,2022-09,False,False,False,False,False
273,2022-09-30,2022,3,9,September,39,4,Friday,False,2022-09,False,False,False,False,False
274,2022-10-01,2022,4,10,October,39,5,Saturday,True,2022-10,True,False,False,False,False
275,2022-10-02,2022,4,10,October,39,6,Sunday,True,2022-10,True,False,False,False,False
276,2022-10-03,2022,4,10,October,40,0,Monday,False,2022-10,True,False,False,False,False
277,2022-10-04,2022,4,10,October,40,1,Tuesday,False,2022-10,True,False,False,False,False
278,2022-10-05,2022,4,10,October,40,2,Wednesday,False,2022-10,True,False,False,False,False
279,2022-10-06,2022,4,10,October,40,3,Thursday,False,2022-10,True,False,False,False,False
280,2022-10-07,2022,4,10,October,40,4,Friday,False,2022-10,True,False,False,False,False
281,2022-10-08,2022,4,10,October,40,5,Saturday,True,2022-10,True,False,False,False,False
282,2022-10-09,2022,4,10,October,40,6,Sunday,True,2022-10,True,False,False,False,False
283,2022-10-10,2022,4,10,October,41,0,Monday,False,2022-10,True,False,False,False,False
284,2022-10-11,2022,4,10,October,41,1,Tuesday,False,2022-10,True,False,False,False,False
285,2022-10-12,2022,4,10,October,41,2,Wednesday,False,2022-10,True,False,False,False,False
286,2022-10-13,2022,4,10,October,41,3,Thursday,False,2022-10,True,False,False,False,False
287,2022-10-14,2022,4,10,October,41,4,Friday,False,2022-10,True,False,False,False,False
288,2022-10-15,2022,4,10,October,41,5,Saturday,True,2022-10,True,False,False,False,False
289,2022-10-16,2022,4,10,October,41,6,Sunday,True,2022-10,True,False,False,False,False
290,2022-10-17,2022,4,10,October,42,0,Monday,False,2022-10,True,False,False,False,False
291,2022-10-18,2022,4,10,October,42,1,Tuesday,False,2022-10,True,False,False,False,False
292,2022-10-19,2022,4,10,October,42,2,Wednesday,False,2022-10,True,False,False,False,False
293,2022-10-20,2022,4,10,October,42,3,Thursday,False,2022-10,True,False,False,False,False
294,2022-10-21,2022,4,10,October,42,4,Friday,False,2022-10,True,False,False,False,False
295,2022-10-22,2022,4,10,October,42,5,Saturday,True,2022-10,True,False,False,False,False
296,2022-10-23,2022,4,10,October,42,6,Sunday,True,2022-10,True,False,False,False,False
